Nr Camere,Suprafata,Etaj,Total Etaje,Sector,Scor,Pret
1,34,1,3,4,5,49900
5,250,6,7,3,2,360000
2,49,4,4,6,4,47000
3,84,1,7,3,2,147300
3,91,3,4,6,4,79048
2,40,1,6,4,5,34900
4,85,4,4,4,5,58000
3,82.1,1,3,3,2,133900
3,79,1,14,3,4,98000
3,68,1,4,3,4,58800
1,37,7,10,2,1,72500
4,147,2,4,2,2,329000
2,51.8,3,11,4,2,99800
3,86,1,3,2,3,85000
1,41.5,2,4,5,5,37350
2,71,2,6,6,4,52285
2,64.55,1,5,5,5,80687
1,35,1,2,2,3,43700
4,97.72,1,3,2,5,78000
2,78,3,4,4,5,64000
2,51,4,4,3,4,57000
3,78.54,1,11,2,1,178000
2,65,2,7,2,3,56000
2,60,1,3,3,4,55000
2,71,6,9,4,5,74500
2,48.83,2,10,4,5,61000
2,39,1,5,1,1,51660
3,73,4,7,4,5,84900
2,50,4,4,2,2,57999
3,74,7,8,3,2,127000
2,56,0,2,1,2,59000
3,111.89,3,6,3,2,179024
2,56.3,9,11,2,5,75000
3,70,7,8,3,4,80000
4,76.7,5,8,2,3,85500
3,81,4,4,3,4,145000
3,92.5,1,2,1,2,150000
3,75,2,5,4,5,62910
3,82,2,3,6,4,55000
4,82,0,3,5,5,72900
2,56,1,8,6,4,71000
2,59,2,5,4,5,46650
2,55,0,4,3,4,59500
1,46.78,1,7,2,5,41429
3,116,0,4,1,1,108225
2,52,10,10,5,5,45900
2,81,7,9,1,2,146454
3,77,1,3,3,4,68500
2,63.08,2,6,1,1,149000
3,131,1,9,1,2,227453
2,70,1,3,6,4,46500
2,56.3,6,11,2,5,75000
5,111,2,10,1,1,289000
2,57,2,2,6,4,48200
3,74,1,2,1,2,95000
2,55.71,8,10,6,4,77500
1,16,4,5,3,4,19905
3,145,1,3,1,1,179000
1,36,1,4,3,4,35500
3,80,0,5,1,2,229900
1,40,0,4,6,4,46000
2,61.08,1,6,1,1,109000
3,80,1,3,6,5,86000
3,60,1,10,1,2,80000
3,127,3,6,2,1,330000
2,38,0,6,6,4,29500
2,53,7,10,2,3,52000
3,78,1,7,1,1,97000
3,85,2,4,2,3,82900
3,145,2,2,1,1,149000
2,47,3,7,4,5,52000
4,81,4,4,4,5,95000
2,63,2,6,1,1,155000
2,55,2,10,4,5,49900
2,61,1,4,4,5,69000
5,131,1,4,2,2,155000
3,71,6,6,1,1,102000
2,58,1,5,4,5,52155
2,53.64,3,13,1,1,160000
3,75,1,4,4,5,58100
2,60.1,5,5,3,4,100000
3,36,1,4,5,5,36000
2,66,2,5,5,5,80688
3,68,1,5,4,5,67500
2,49,1,5,6,4,41500
2,74.95,13,14,6,4,64457
2,55,5,8,2,1,75000
3,71,3,3,6,4,56500
2,51,3,10,4,5,50500
3,85,1,2,1,2,165000
3,80,3,3,1,4,140000
3,106.44,3,6,1,2,220000
3,88.9,5,5,3,4,143500
2,64,1,5,1,2,95000
3,73.2,0,3,6,5,83300
2,41,2,10,2,3,49900
3,84,1,3,6,5,115000
2,90,1,2,2,2,109000
3,96,6,7,3,2,129600
2,60,1,5,6,4,56200
2,40,8,8,6,4,34000
3,81,7,8,3,2,138750
2,49,1,4,1,1,64090
3,67,2,10,1,1,129508
3,75,3,5,4,5,62900
3,78,1,3,1,1,99000
4,89,4,4,4,5,98000
3,76.51,1,5,1,1,88800
2,59,2,7,3,4,67500
2,53,1,3,6,4,42500
2,51.24,1,3,4,5,46116
3,75,1,3,4,2,97000
2,53,1,9,1,2,65700
2,64,2,4,2,3,54500
2,76,0,3,5,5,82800
2,61,1,8,4,5,69350
3,88,3,9,1,1,103200
3,118,1,4,1,1,120000
3,88.15,5,6,3,2,150500
3,93.9,2,5,3,4,141000
3,80,5,11,4,5,70500
1,35,1,3,4,5,35250
2,52,2,11,4,5,48100
3,79.85,5,6,3,2,136000
1,37,0,3,3,4,34900
3,90,4,7,1,1,119800
2,49.02,1,3,2,3,39683
2,65,1,4,1,2,129000
1,45,1,5,4,5,33600
2,58.15,3,6,3,2,99000
2,55,2,9,4,2,77400
1,35,1,4,1,2,43000
2,65.75,1,11,2,1,145500
3,79.2,3,11,4,2,144000
2,76,5,8,3,2,140000
3,76,1,9,3,4,110000
4,115.3,1,1,1,2,191000
1,38,2,3,3,4,34500
3,86,2,4,3,4,77500
5,147,0,1,1,1,225000
3,70.19,3,5,1,1,140384
2,54.3,5,11,1,1,123500
2,55,2,9,3,4,77400
1,35,0,5,2,3,34500
3,88,3,4,1,1,123500
2,59,6,10,4,5,65500
3,73,1,3,1,2,110000
3,70.06,3,9,5,1,117460
3,71,2,11,6,4,95105
3,108,2,4,3,4,82000
3,73.04,0,5,5,1,135000
4,136.61,5,5,1,1,160000
2,57.34,1,5,1,1,83800
